,teamA,teamB,scoreA,scoreB
0,TVN,Førde,2,3
1,KFUM Volda,Førde,3,2
2,Førde,KFUM Volda,2,3
3,TVN,KFUM Volda,0.0,0.0
4,Koll,Førde,3,0
5,Førde,Koll,0.0,0.0
6,Koll,KFUM Volda,3,0
7,KFUM Volda,Koll,0,3
8,TVN,Koll,0.0,0.0
9,NTNUI,Førde,0,3
10,Førde,NTNUI,0.0,0.0
11,NTNUI,KFUM Volda,0.0,0.0
12,KFUM Volda,NTNUI,0.0,0.0
13,NTNUI,Koll,3,0
14,Koll,NTNUI,0.0,0.0
15,TVN,NTNUI,3,0
16,Oslo Volley,Førde,3,1
17,Førde,Oslo Volley,0.0,0.0
18,Oslo Volley,KFUM Volda,1,3
19,KFUM Volda,Oslo Volley,0.0,0.0
20,Oslo Volley,Koll,0.0,0.0
21,Koll,Oslo Volley,3,0
22,Oslo Volley,NTNUI,1,3
23,NTNUI,Oslo Volley,3,1
24,TVN,Oslo Volley,0.0,0.0
25,Randaberg,Førde,3,0
26,Førde,Randaberg,1,3
27,Randaberg,KFUM Volda,0.0,0.0
28,KFUM Volda,Randaberg,0,3
29,Randaberg,Koll,0.0,0.0
30,Koll,Randaberg,3,0
31,Randaberg,NTNUI,3,0
32,NTNUI,Randaberg,0.0,0.0
33,Randaberg,Oslo Volley,0.0,0.0
34,Oslo Volley,Randaberg,3,2
35,TVN,Randaberg,0.0,0.0
36,Skjetten,Førde,0,3
37,Førde,Skjetten,3,0
38,Skjetten,KFUM Volda,0.0,0.0
39,KFUM Volda,Skjetten,3,0
40,Skjetten,Koll,0,3
41,Koll,Skjetten,3,0
42,Skjetten,NTNUI,0.0,0.0
43,NTNUI,Skjetten,3,0
44,Skjetten,Oslo Volley,0.0,0.0
45,Oslo Volley,Skjetten,0.0,0.0
46,Skjetten,Randaberg,0.0,0.0
47,Randaberg,Skjetten,3,0
48,TVN,Skjetten,0.0,0.0
49,Tromsø,Førde,0.0,0.0
50,Førde,Tromsø,0,3
51,Tromsø,KFUM Volda,3,1
52,KFUM Volda,Tromsø,0.0,0.0
53,Tromsø,Koll,0.0,0.0
54,Koll,Tromsø,3,1
55,Tromsø,NTNUI,0.0,0.0
56,NTNUI,Tromsø,0,3
57,Tromsø,Oslo Volley,3,0
58,Oslo Volley,Tromsø,1,3
59,Tromsø,Randaberg,3,0
60,Randaberg,Tromsø,0.0,0.0
61,Tromsø,Skjetten,3,0
62,Skjetten,Tromsø,0,3
63,TVN,Tromsø,0.0,0.0
64,Viking,Førde,3,0
65,Førde,Viking,3,0
66,Viking,KFUM Volda,3,2
67,KFUM Volda,Viking,3,0
68,Viking,Koll,0.0,0.0
69,Koll,Viking,0.0,0.0
70,Viking,NTNUI,0.0,0.0
71,NTNUI,Viking,3,1
72,Viking,Oslo Volley,0.0,0.0
73,Oslo Volley,Viking,3,0
74,Viking,Randaberg,0,3
75,Randaberg,Viking,3,1
76,Viking,Skjetten,3,0
77,Skjetten,Viking,0.0,0.0
78,Viking,Tromsø,1,3
79,Tromsø,Viking,0.0,0.0
80,TVN,Viking,2,3
